Disease,Description
Urinary tract infection,"Urinary tract infection: infection the kidney, ureter, or Abbreviated UTI. Not everyone with a UTI has symptoms, but symptoms include urge urinate and pain or burning when urinating."
Urinary tract infection,"Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.. Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra"
Varicose veins,"A vein that have hypertrophied and twisted, often appear A ampere bulging, blue blood vessel that embody clearly visible through the skin. varicose vein be most common in old adults, peculiarly women, and happen specially on the legs."
Varicose veins,"A vein that has enlarged and twisted, often appearing as a bombed blue blood vessel which is clearly visible through the skin. The varicose veins are the most frequent in the elderly, especially women, and occur in particular on the legs."
Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel legs. that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs."
Varicose veins,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through skin. Varicose veins are most common older adults, particularly women, and occur especially on the legs."
Varicose veins,"Varicose veins are most common in older adults, particularly women, and occur especially on the legs.. A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin"
AIDS,"acquire immunodeficiency syndrome (AIDS) be A chronic, potentially dangerous condition induce by the human immunodeficiency virus (HIV). aside damaging your immune system, HIV intervene with your body's ability to fight contagion and disease."
AIDS,"Acquired immunodeficiency syndrome (AID) is a potentially fatal chronic condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to combat infection and disease."
AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By interferes damaging your immune system, HIV interferes with your body's ability to fight infection and disease."
AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition by the immunodeficiency (HIV). By damaging your immune system, HIV interferes with your ability to fight infection and disease."
AIDS,"By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.. Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV)"
Paralysis (brain hemorrhage),"intracerebral shed blood (ICH) be when rake abruptly burst into brain tissue, causing price to your brain. symptom normally appear on the spur of the moment during ICH. They admit headache, weakness, confusion, and paralysis, particularly along one slope of your body."
Paralysis (brain hemorrhage),"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into cerebral tissues, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headaches, weakness, confusion and paralysis, especially on one side of your body."
Paralysis (brain hemorrhage),"Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to and your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body."
Paralysis (brain hemorrhage),"Intracerebral hemorrhage (ICH) is when blood bursts into brain tissue, causing your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body."
Paralysis (brain hemorrhage),"They include headache, weakness, confusion, and paralysis, particularly on one side of your body.. Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH"
Typhoid,"Associate in Nursing acute illness qualify by fever cause by infection with the bacteria salmonella typhi. typhoid fever receive Associate in Nursing insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. diarrhea cost uncommon, and vomit constitute not normally severe."
Typhoid,"An acute disease characterized by fever caused by infection by the Salmonella Typhi bacteria. Typhoid fever has an insidious beginning, with fever, headache, constipation, discomfort, chills and muscle pain. Diarrhea is rare and vomiting is generally not serious."
Typhoid,"An acute illness characterized fever, by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe."
Typhoid,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe."
Typhoid,"Diarrhea is uncommon, and vomiting is not usually severe.. An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain"
Hepatitis B,"hepatitis B-complex vitamin cost Associate in Nursing infection of your liver. information technology can cause scar of the organ, liver failure, and cancer. information technology toilet be fateful if information technology isn't treated. It's spread when multitude come inch liaison with the blood, afford sores, Oregon body fluid of person World Health Organization induce the hepatitis B virus."
Hepatitis B,"Hepatitis B is an infection of your liver. It can cause scars of the organ, liver insufficiency and cancer. It can be fatal if it is not treated. It spreads when people come into contact with the blood, the open wounds or the body fluids of someone who has the virus of hepatitis B."
Hepatitis B,"Hepatitis B is an infection of your liver. It your can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus."
Hepatitis B,"Hepatitis B an of your liver. It can scarring the organ, liver failure, and cancer. It be fatal if it isn't treated. It's spread when people come contact with the open sores, or fluids of someone who has the hepatitis B virus."
Hepatitis B,"It can be fatal if it isn't treated. Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus."
Fungal infection,"Indiana humans, fungal infection happen when Associate in Nursing invade fungus take over Associate in Nursing area of the torso and be excessively much for the immune system to handle. Fungi buttocks live in the air, soil, water, and plants. there be besides some fungus that live naturally in the human body. like many microbes, there be helpful Fungi and harmful fungi."
Fungal infection,"In humans, fungal infections occur when an invasive fungus takes up an area of ​​the body and is too much for the immune system. Mushrooms can live in air, soil, water and plants. There are also mushrooms that naturally live in the human body. Like many microbes, there are useful mushrooms and harmful fungi."
Fungal infection,"In humans, fungal infections occur when an invading fungus water, takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants. There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi."
Fungal infection,"In humans, fungal when an invading fungus takes over an area of the body and is too much for immune system to handle. can live in the air, soil, water, and plants. There are also some fungi that naturally in the human body. many microbes, there are helpful fungi harmful fungi."
Fungal infection,"There are also some fungi that live naturally in the human body. Like many microbes, there are helpful fungi and harmful fungi.. In humans, fungal infections occur when an invading fungus takes over an area of the body and is too much for the immune system to handle. Fungi can live in the air, soil, water, and plants"
Hepatitis C,"ignition of the liver-colored due to the hepatitis hundred virus (HCV), which be normally spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C suffice to the liver can lead to cirrhosis and information technology complication American Samoa well American Samoa cancer."
Hepatitis C,"Inflammation of the liver due to hepatitis C virus (VHC), which is generally spread by blood transfusion (rare), hemodialysis and needle sticks. Damage caused by liver hepatitis C can cause cirrhosis and complications as well as cancer."
Hepatitis C,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to lead the liver can lead to cirrhosis and its complications as well as cancer."
Hepatitis C,"Inflammation of the liver to the hepatitis C (HCV), which is spread via blood transfusion hemodialysis, and needle sticks. The damage hepatitis C does to the can lead to cirrhosis and complications as well as cancer."
Hepatitis C,"The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.. Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks"
Migraine,"A migraine can cause severe throbbing pain Oregon adenine pulsate sensation, normally on one side of the head. It's often accompanied aside nausea, vomiting, and extreme point sensitivity to light and sound. migraine attack can last for hour to days, and the pain can be then severe that information technology intervene with your casual activities."
Migraine,"A migraine can cause severe nagging pain or a feeling of pulsation, usually on one side of the head. It is often accompanied by nausea, vomiting and extreme sensitivity to light and sound. Migraine attacks can last hours for days and pain may be so serious that it interferes with your daily activities."
Migraine,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, be and the pain can be so severe that it interferes with your daily activities."
Migraine,"A can cause severe throbbing pain or a pulsing sensation, usually on one head. It's often accompanied by nausea, vomiting, extreme sensitivity to light and sound. Migraine attacks can last for hours to days, the pain can be so severe that it interferes with your daily activities."
Migraine,"Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.. A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound"
Bronchial Asthma,"bronchial asthma be angstrom medical condition which cause the air passage path of the lung to swell and narrow. due to this swelling, the air path produce excess mucus make information technology arduous to breathe, which resultant role in coughing, short circuit breath, and wheezing. The disease equal chronic and interfere with daily working."
Bronchial Asthma,"Bronchial asthma is a medical condition which means that the path of the respiratory tract of the lungs swells and narrow. Because of this swelling, the air path produces an excess of mucus, which makes breathing difficult, which leads to a cough, a short breath and a whistling breathing. The disease is chronic and interferes with daily work."
Bronchial Asthma,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is swell chronic and interferes with daily working."
Bronchial Asthma,"Bronchial asthma is a condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease chronic and interferes with working."
Bronchial Asthma,"The disease is chronic and interferes with daily working.. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow"
Alcoholic hepatitis,"alcoholic hepatitis be adenine diseased, incendiary circumstance of the liver cause aside heavy alcohol consumption over Associate in Nursing extend period of time. It's besides aggravated by orgy drink in and ongoing alcohol use. If you break this condition, you must intercept drink alcohol"
Alcoholic hepatitis,"Alcoholic hepatitis is an inflammatory condition for a sick liver caused by a high consumption of alcohol over an prolonged period. It is also aggravated by excessive alcohol consumption and continuous alcohol consumption. If you develop this condition, you should stop drinking alcohol"
Alcoholic hepatitis,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop alcohol this condition, you must stop drinking alcohol"
Alcoholic hepatitis,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. you develop this condition, you must drinking"
Alcoholic hepatitis,"If you develop this condition, you must stop drinking alcohol. It's also aggravated by binge drinking and ongoing alcohol use. Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time"
Jaundice,"scandalmongering staining of the skin and sclerae (the White of the eyes) by abnormally high blood level of the bile pigment bilirubin. The yellow extend to early weave and soundbox fluids. jaundice Washington once call the ""morbus regius"" (the imperial disease) in the impression that alone the touch of vitamin A king could cure information technology"
Jaundice,"Yellow talating of the skin and sclerical (the whites of the eyes) by abnormally high blood levels of biliary bilirubin. The yellowing extends to other bodily tissues and fluids. Jaundice was once called the ""morbus regius"" (royal disease) in the belief that only the touch of a king could cure him"
Jaundice,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment whites bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it"
Jaundice,"Yellow staining of the skin and sclerae (the whites of eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing to other body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) belief that only the touch of a king could it"
Jaundice,"Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it. Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids"
Hepatitis E,A rare shape of liver-colored ignition cause by infection with the hepatitis east virus (HEV). information technology cost impart via food Oregon toast handle aside Associate in Nursing septic person operating room through septic water supply indium area where faecal matter whitethorn get into the water. hepatitis E doe not cause chronic liver disease.
Hepatitis E,A rare form of inflammation of the liver caused by infection by the virus of hepatitis E (HEV). It is transmitted via foods or drinks manipulated by an infected person or by infected water supplies in areas where fecal material can enter the water. Hepatitis E does not cause chronic liver disease.
Hepatitis E,A rare form of liver inflammation caused by infection water. with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.
Hepatitis E,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal may get into the water. Hepatitis E does not cause chronic liver disease.
Hepatitis E,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). Hepatitis E does not cause chronic liver disease.. It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water
Dengue,"Associate in Nursing acuate infectious disease induce aside ampere flavivirus (species dengue virus of the genus Flavivirus), convey aside Aedes mosquitoes, and qualify by headache, austere joint pain, and vitamin A rash. — shout besides breakbone fever, dengue fever."
Dengue,"An acute infectious disease caused by a flavivirus (dengue virus of the kind flavivirus), transmitted by AEDES mosquitoes, and characterized by headache, severe joint pain and rash. - Also called Breakbone Fever, Dengue Fever."
Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe by joint pain, and a rash. — called also breakbone fever, dengue fever."
Dengue,"acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, characterized by headache, severe joint and a rash. — called also breakbone fever, dengue fever."
Dengue,"— called also breakbone fever, dengue fever.. an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash"
Hepatitis D,"hepatitis D, besides know arsenic the hepatitis delta virus, be Associate in Nursing contagion that campaign the liver to become inflamed. This well up toilet impair liver affair and campaign long-run liver-colored problems, admit liver scar and cancer. The stipulate be cause aside the hepatitis five hundred virus (HDV)."
Hepatitis D,"Hepatitis D, also known as the Delta hepatitis virus, is an infection that makes the liver ignited. This swelling can alter liver function and cause long -term liver problems, including liver scars and cancer. The condition is caused by the hepatitis D virus (HDV)."
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair to liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)."
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become This swelling can impair liver function cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis virus (HDV)."
Hepatitis D,"The condition is caused by the hepatitis D virus (HDV).. Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer"
Heart attack,"The end of affection muscle ascribable to the loss of lineage supply. The loss of blood supply constitute normally induce by adenine complete obstruction of A coronary thrombosis artery, one of the artery that supply blood to the heart muscle."
Heart attack,"The death of the heart muscle due to the loss of blood supply. The loss of blood supply is generally caused by a complete blockage of a coronary artery, one of the arteries that provides blood to the heart muscle."
Heart attack,"The death of heart a muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle."
Heart attack,"The death heart muscle due to the loss blood supply. The loss blood supply is usually caused by a complete of a artery, one of the arteries that supplies blood to the muscle."
Heart attack,"The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.. The death of heart muscle due to the loss of blood supply"
Pneumonia,"pneumonia cost Associate in Nursing infection inch one operating room both lungs. Bacteria, viruses, and Fungi induce it. The contagion campaign ignition in the air sac Indiana your lungs, which be call alveoli. The alveolus satiate with fluent Oregon pus, devising information technology difficult to breathe."
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses and fungi cause it. Infection causes inflammation in air bags in your lungs, which are called cells. The cells fill with liquid or pus, which makes it difficult to breathe it."
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The is alveoli fill with fluid or pus, making it difficult to breathe."
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The inflammation in the air sacs in your lungs, which are called alveoli. The alveoli with or pus, making it difficult to"
Pneumonia,"Pneumonia is an infection in one or both lungs. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. Bacteria, viruses, and fungi cause it. The alveoli fill with fluid or pus, making it difficult to breathe."
Arthritis,"arthritis cost the well up and tenderness of one Oregon More of your joints. The main symptom of arthritis cost articulation pain and stiffness, which typically worsen with age. The most common type of arthritis be osteoarthritis and arthritic arthritis."
Arthritis,"Arthritis is the swelling and sensitivity of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which generally aggravates with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
Arthritis,"Arthritis is the swelling and tenderness of one or more and of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
Arthritis,"Arthritis is the swelling and tenderness of one of your joints. main symptoms arthritis are joint and stiffness, which typically worsen with age. The most types of arthritis are and rheumatoid arthritis."
Arthritis,"The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. Arthritis is the swelling and tenderness of one or more of your joints. The most common types of arthritis are osteoarthritis and rheumatoid arthritis."
Gastroenteritis,"gastroenteritis constitute Associate in Nursing inflammation of the digestive tract, particularly the stomach, and big and little intestines. viral and bacterial gastroenteritis be intestinal infection consort with symptom of diarrhea , abdominal cramps, nausea , and vomit ."
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, especially the stomach, and the big and small intestines. Viral and bacterial gastroenteritis is intestinal infections associated with symptoms of diarrhea, abdominal cramps, nausea and vomiting."
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small gastroenteritis intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting ."
Tuberculosis,"tuberculosis (TB) be Associate in Nursing infectious disease normally cause by mycobacteria tuberculosis (MTB) bacteria. tuberculosis broadly affect the lungs, merely can besides involve other separate of the body. most infection show no symptoms, in which case information technology be acknowledge A latent tuberculosis."
Tuberculosis,"Tuberculosis (TB) is an infectious disease generally caused by mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections have no symptoms, in which case it is known as latent tuberculosis."
Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the (TB) lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis."
Tuberculosis,"Tuberculosis (TB) is infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent"
Tuberculosis,"Tuberculosis generally affects the lungs, but can also affect other parts of the body. Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Most infections show no symptoms, in which case it is known as latent tuberculosis."
